Fichier,N,Temps_Naif_ms,Temps_Welzl_ms,Rayon_Naif,Rayon_Welzl,Speedup,Correct
test-1.points,256,125.6629,37.6088,197.0,197.0,3.341316394035438,true
test-10.points,256,98.9812,0.8113,197.0,197.0,122.00320473314433,true
test-100.points,256,92.3838,0.2339,198.0,198.0,394.9713552800342,true
test-1000.points,256,112.796,0.3771,199.0,199.0,299.1142932909043,true
test-1001.points,256,94.917,0.189,198.0,198.0,502.2063492063492,true
test-1002.points,256,85.2963,0.1184,198.0,198.0,720.4079391891892,true
test-1003.points,256,75.7295,0.3029,198.0,198.0,250.01485638824695,true
test-1004.points,256,75.9661,0.1125,199.0,199.0,675.2542222222222,true
test-1005.points,256,96.1994,0.1056,197.0,197.0,910.9791666666666,true
test-1006.points,256,85.1328,0.0954,199.0,199.0,892.377358490566,true
test-1007.points,256,88.3724,0.0863,197.0,197.0,1024.0139049826187,true
test-1008.points,256,90.9629,0.1037,198.0,198.0,877.1735776277725,true
test-1009.points,256,79.7719,0.154,198.0,198.0,517.9993506493506,true
test-101.points,256,78.6904,0.1438,199.0,199.0,547.2211404728789,true
test-1010.points,256,80.0936,0.1044,198.0,198.0,767.1800766283524,true
test-1011.points,256,108.2159,0.0893,199.0,199.0,1211.8241881298993,true
test-1012.points,256,94.9605,0.076,197.0,197.0,1249.4802631578948,true
test-1013.points,256,87.8915,0.0782,198.0,198.0,1123.9322250639384,true
test-1014.points,256,76.7436,0.0648,198.0,198.0,1184.3148148148148,true
test-1015.points,256,88.565,0.1063,196.0,196.0,833.1608654750705,true
test-1016.points,256,95.5684,0.1501,197.0,197.0,636.6982011992004,true
test-1017.points,256,77.9558,0.0723,198.0,198.0,1078.2268326417702,true
test-1018.points,256,85.1334,0.088,196.0,196.0,967.425,true
test-1019.points,256,88.3774,0.1303,199.0,199.0,678.2609363008442,true
test-102.points,256,101.6735,0.1207,199.0,199.0,842.3653686826843,true
test-1020.points,256,78.5648,0.071,197.0,197.0,1106.5464788732397,true
test-1021.points,256,84.8811,0.1009,198.0,198.0,841.2398414271556,true
test-1022.points,256,79.7621,0.0565,199.0,199.0,1411.7185840707964,true
test-1023.points,256,102.516,0.099,197.0,197.0,1035.5151515151515,true
test-1024.points,256,102.3437,0.108,197.0,197.0,947.6268518518518,true
test-1025.points,256,92.8086,0.0471,198.0,198.0,1970.4585987261146,true
test-1026.points,256,73.7921,0.0666,198.0,198.0,1107.9894894894894,true
test-1027.points,256,89.5088,0.098,197.0,197.0,913.3551020408162,true
test-1028.points,256,93.9627,0.0535,197.0,197.0,1756.3121495327102,true
test-1029.points,256,89.1562,0.0662,199.0,199.0,1346.7703927492448,true
test-103.points,256,93.6127,0.0809,197.0,197.0,1157.140914709518,true
test-1030.points,256,100.5605,0.0877,198.0,198.0,1146.641961231471,true
test-1031.points,256,80.2126,0.0549,199.0,199.0,1461.0673952641166,true
test-1032.points,256,102.1404,0.0773,199.0,199.0,1321.3505821474776,true
test-1033.points,256,81.8196,0.0889,198.0,198.0,920.3554555680539,true
test-1034.points,256,90.6945,0.1392,198.0,198.0,651.5409482758622,true
test-1035.points,256,90.6148,0.0496,197.0,197.0,1826.9112903225807,true
test-1036.points,256,81.9192,0.053,196.0,196.0,1545.645283018868,true
test-1037.points,256,84.4495,0.0579,199.0,199.0,1458.5405872193437,true
test-1038.points,256,82.5647,0.0557,196.0,196.0,1482.310592459605,true
test-1039.points,256,89.707,0.0711,193.0,193.0,1261.7018284106891,true
test-104.points,256,94.7771,0.0573,198.0,198.0,1654.0506108202444,true
test-1040.points,256,76.8334,0.0735,199.0,199.0,1045.352380952381,true
test-1041.points,256,89.8859,0.0875,196.0,196.0,1027.2674285714288,true
test-1042.points,256,74.6649,0.0546,199.0,199.0,1367.489010989011,true
test-1043.points,256,93.9823,0.0942,197.0,197.0,997.6889596602971,true
test-1044.points,256,91.1317,0.0756,200.0,200.0,1205.445767195767,true
test-1045.points,256,77.8904,0.0905,199.0,199.0,860.6674033149171,true
test-1046.points,256,83.5161,0.145,200.0,200.0,575.9731034482759,true
test-1047.points,256,81.877,0.0764,199.0,199.0,1071.6884816753927,true
test-1048.points,256,81.6783,0.0745,198.0,198.0,1096.3530201342282,true
test-1049.points,256,88.196,0.0528,196.0,196.0,1670.3787878787878,true
test-105.points,256,97.4516,0.1209,199.0,199.0,806.0512820512821,true
test-1050.points,256,99.2884,0.0728,197.0,197.0,1363.8516483516482,true
test-1051.points,256,96.1254,0.068,198.0,198.0,1413.6088235294117,true
test-1052.points,256,90.275,0.0693,197.0,197.0,1302.6695526695528,true
test-1053.points,256,93.2646,0.0508,196.0,196.0,1835.9173228346458,true
test-1054.points,256,88.6108,0.0578,199.0,199.0,1533.0588235294117,true
test-1055.points,256,88.4818,0.0623,199.0,199.0,1420.2536115569824,true
test-1056.points,256,81.1092,0.1033,196.0,196.0,785.1810261374637,true
test-1057.points,256,98.6067,0.0542,198.0,198.0,1819.3118081180812,true
test-1058.points,256,88.4043,0.0571,196.0,196.0,1548.2364273204905,true
test-1059.points,256,76.9064,0.0791,197.0,197.0,972.2680151706701,true
test-106.points,256,93.9249,0.072,199.0,199.0,1304.5125,true
test-1060.points,256,85.2494,0.0558,199.0,199.0,1527.7670250896056,true
